key;ENGLISH;x
acquire_core_state_tiny;Acquire Tiny Core;;;;;;;;;;;
acquire_core_state_tiny_short;Acquire $STATE$;;;;;;;;;;;
acquire_core_state_tiny_desc;Aquire an enemy §Ytiny state§W where we have §Ycore provinces.§W;;;;;;;;;;;
acquire_core_state_tiny_setup;Acquire tiny core $STATE$ from $RECIPIENT$.;;;;;;;;;;;
acquire_core_state_small;Acquire Small Core;;;;;;;;;;;
acquire_core_state_small_short;Acquire $STATE$;;;;;;;;;;;
acquire_core_state_small_desc;Aquire an enemy §Ysmall state§W where we have §Ycore provinces.§W;;;;;;;;;;;
acquire_core_state_small_setup;Acquire small core $STATE$ from $RECIPIENT$.;;;;;;;;;;;
acquire_core_state_medium;Acquire Medium Core;;;;;;;;;;;
acquire_core_state_medium_short;Acquire $STATE$;;;;;;;;;;;
acquire_core_state_medium_desc;Aquire an enemy §Ymedium state§W where we have §Ycore provinces.§W;;;;;;;;;;;
acquire_core_state_medium_setup;Acquire medium core $STATE$ from $RECIPIENT$.;;;;;;;;;;;
acquire_core_state_large;Acquire Large Core;;;;;;;;;;;
acquire_core_state_large_short;Acquire $STATE$;;;;;;;;;;;
acquire_core_state_large_desc;Aquire an enemy §Ylarge state§W where we have §Ycore provinces.§W;;;;;;;;;;;
acquire_core_state_large_setup;Acquire large core $STATE$ from $RECIPIENT$.;;;;;;;;;;;
acquire_core_state_huge;Acquire Huge Core;;;;;;;;;;;
acquire_core_state_huge_short;Acquire $STATE$;;;;;;;;;;;
acquire_core_state_huge_desc;Aquire an enemy §Yhuge state§W where we have §Ycore provinces.§W;;;;;;;;;;;
acquire_core_state_huge_setup;Acquire huge core $STATE$ from $RECIPIENT$.;;;;;;;;;;;
acquire_state_tiny;Acquire Tiny State;;;;;;;;;;;
acquire_state_tiny_short;Acquire Tiny State $STATE$.;;;;;;;;;;;
acquire_state_tiny_desc;Aquire an enemy §Ytiny state§W.;;;;;;;;;;;
acquire_state_tiny_setup;Demand that $RECIPIENT$ cede its tiny state.;;;;;;;;;;;
acquire_state_small;Acquire Small State;;;;;;;;;;;
acquire_state_small_short;Acquire Small State $STATE$.;;;;;;;;;;;
acquire_state_small_desc;Aquire an enemy §Ysmall state§W.;;;;;;;;;;;
acquire_state_small_setup;Demand that $RECIPIENT$ cede its small state.;;;;;;;;;;;
acquire_state_medium;Acquire Medium State;;;;;;;;;;;
acquire_state_medium_short;Acquire Medium State $STATE$.;;;;;;;;;;;
acquire_state_medium_desc;Aquire an enemy §Ymedium state§W.;;;;;;;;;;;
acquire_state_medium_setup;Demand that $RECIPIENT$ cede its medium state.;;;;;;;;;;;
acquire_state_large;Acquire Large State;;;;;;;;;;;
acquire_state_large_short;Acquire Large State $STATE$.;;;;;;;;;;;
acquire_state_large_desc;Aquire an enemy §Ylarge state§W.;;;;;;;;;;;
acquire_state_large_setup;Demand that $RECIPIENT$ cede its large state.;;;;;;;;;;;
acquire_state_huge;Acquire Huge State;;;;;;;;;;;
acquire_state_huge_short;Acquire Huge State $STATE$.;;;;;;;;;;;
acquire_state_huge_desc;Aquire an enemy §Yhuge state§W.;;;;;;;;;;;
acquire_state_huge_setup;Demand that $RECIPIENT$ cede its huge state.;;;;;;;;;;;
demand_concession_casus_belli_tiny;Tiny State Concession;;;;;;;;;;;
demand_concession_casus_belli_tiny_short;Demand Tiny State $STATE$.;;;;;;;;;;;
demand_concession_casus_belli_tiny_desc;Demand a §Ytiny state§W concession.;;;;;;;;;;;
demand_concession_casus_belli_tiny_setup;Demand that $RECIPIENT$ cede its tiny state.;;;;;;;;;;;
demand_concession_casus_belli_small;Small State Concession;;;;;;;;;;;
demand_concession_casus_belli_small_short;Demand Small State $STATE$.;;;;;;;;;;;
demand_concession_casus_belli_small_desc;Demand a §Ysmall state§W concession.;;;;;;;;;;;
demand_concession_casus_belli_small_setup;Demand that $RECIPIENT$ cede its small state.;;;;;;;;;;;
demand_concession_casus_belli_medium;Medium State Concession;;;;;;;;;;;
