key;ENGLISH;x
BLG;The Bulgar Empire;x;
BLG_ADJ;Bulgar;x;
BLG_reactionary;Imperialisticheska;x;
BLG_conservative;Aristokrati;x;
BLG_liberal;Liberalizatsiya;x;
BLG_anarcho_liberal;Payak-Liberal;x;
BLG_socialist;Prava na rabotnitsite;x;
BLG_communist;Radikalni rabotnitsi;x;
BLG_fascist;Treta pozitsiya;x;
BSE;The Black Sea Federation;x;
BSE_ADJ;Naval;x;
BSE_reactionary;Imperialisticheska;x;
BSE_conservative;Aristokrati;x;
BSE_liberal;Liberalizatsiya;x;
BSE_anarcho_liberal;Payak-Liberal;x;
BSE_socialist;Prava na rabotnitsite;x;
BSE_communist;Radikalni rabotnitsi;x;
BSE_fascist;Treta pozitsiya;x;
YUG;The Balkan Confederation;x;
YUG_ADJ;Balkan;x;
YUG_proletarian_dictatorship;United Socialist Republics of the Balkans;x;
YUG_bourgeois_dictatorship;The Balkan Federation;x;
YUG_fascist;National Front;x;
YUG_socialist;Social Democratic Party;x;
YUG_conservative;Conservative Party;x;
YUG_liberal;People's Party;x;
YUG_communist;Communist Party;x;
YUG_reactionary;Monarchist Party;x;
YUG_anarcho_liberal;Freedom Party;x;
LTI;Serbisrael;x;
LTI_ADJ;Israeli;x;
LTI_conservative;Absolutist;x;
LTI_liberal;Constitutional;x;
LTI_conservative_2;Conservative;x;
LTI_liberal_2;Liberal;x;
LTI_conservative_3;Progressive;x;
LTI_socialist;Radical;x;
LTI_reactionary;Nationalist;x;
LTI_anarcho_liberal;Anarcho Liberal;x;
LTI_communist;Communist;x;
LTI_fascist;Fascist;x;
