key;ENGLISH;x
alpine_union_1_title;The Swiss Summit;x;
alpine_union_1_desc;Rather than fight endless wars to liberate Germany we could focus on the lands of Italy. They are far richer than Germany, and would require fighting far weaker opponents. To begin we need to seize Switzerland, to give us a good base for future attacks against the Northern Italian states. §RThis decision will lock you out of future Germany content (althought you can still form Germany)§!;x;
alpine_union_2_title;The Balkan Spearhead;x;
alpine_union_2_desc;Rather than attack Northern Italy headon, we should try to cut them off and encircle them on all sides. Croatia would give us able bodied men for our armies and deprive the Venetians of potential expansion. We would also pacify the Hungarians, who will without a doubt take a keen interest in our ambitions.;x;
alpine_union_3_title;Die Koalition der mächtigen Berge;x;
alpine_union_3_desc;We are not Germans, Swiss, Slavic or Italian. We are the sons and daughters of the mountains, the protectors of mother Earth and her beauty. We will defend our mountain range with guns, spears or hands. The Mountains do not yield to any man, god or animal. The Mountains will stand tall from now until the end of time.;x;
alpine_union_4_title;The Landslide Descends upon Italy;x;
alpine_union_4_desc;The time has come for Italy to be consumed by mother nature. An unstoppable force is headed their way, there is no way to avoid it. All men are destined to eventually be returned to the earth.;x;
alpine_union_5_title;The Venetian Valley;x;
alpine_union_5_desc;As one walks through the valley of Venice, one should take a look at the mountains and ponder what is left. Then, as the fresh air fills your lungs as you gaze longingly upon the mountains, you will realize that taking Venice puts us at the precipice of claiming all of Italy. Es lebe die Union, es lebe die Erde, es lebe der Berg!;x;
alpine_union_6_title;The Peak of our Ambitions;x;
alpine_union_6_desc;Oceans rise, sky may fall, yet the mountain range stands tall through it all. From the Alps to the Apennine Mountains, our nation stretches across Europe, much like the the spine of the almighty mountains. We have reached the peak of our territorial extent, all that is left for us to do is to pass our attention to other lands that may prosper from living life at our altitude.;x; 
