key;ENGLISH;x
accept_norse_title;Remedying the Wounds left by St Brice's Day;;x;
accept_norse_desc;Ever since the St Brice's Day massacre the norse people inhabiting our lands have seen us as untrustworthy. While in the past we have not bothered dealing with the problem due to our uninvolvement in most European affairs, recent developments make a stable homefront a neccesity. Regretably nowadays you cannot commit a massacre in Europe without people getting mad, so we must instead finally sign a treaty with the norse people so that they will identify as Englishmen.;;x;
reform_uk_title;Reform United Kingdoms;;x;
reform_uk_desc;Europe seems unpleasant to deal with so instead we shall unite the isles!;;x;
alternative_to_germany_title;Alternative to Germany;;x;
alternative_to_germany_desc;While we could stay here on our island and not care about what goes on in Europe it is simply not possible to do so. The brutal savages in the Holy Slavic Empire are oppressing our German brothers and we cannot turn a blind eye any longer! The German states are too weak to form a independent german nation due to burgundian and bohemian domineering so we must do it for them! Deutschland den Deutschen, ausländer raus!;;x;
EVTNAME100020;Coup in Siam;;x;
100020D;The King of Siam is dead! His heir, His Royal Highness John Siam, has been overthrown by the landed nobles and replaced by his brother. This has been disastrous for the Scottish East Asia Company as they have invested a lot of money in Siam, and the new government seems far less willing to cooperate with us. The legitimate Prince has started gathering troops in Johore to retake his throne, and we could use his legitimate claim to the throne to intervene and further our grip of the Indochina area. What should we do?;x;
100020OPTA;We shall come to his Aid!;x;
100020OPTB;Tsk, we shall stay out of this fools errand!;x;
EVTNAME100021;The Pretender Defeated!;x;
100021D;With our help the King of Siam has been able to claim his throne, and due to our contribution to his victory we have received quite favorable terms for trade! We have also established a permanent diplomat in the country and signed a treaty, giving us control of some of Siams foreign policy at the cost of having to defend them in case of invasion or unrest. This is truly another splendid deal for us, we are gonna be rich!;x;
100021OPT;I can smell the money already!;x;
EVTNAME100022;Border dispute in Indochina!;x;
100022D;The Siamese have requested our aid in a border dispute with Dai Nam. The issue concerns the status of Luang Prabang and Cambodia, they are de facto controlled by Dai Nam but Siam has produced documents that would make them the rightful rulers of the two nations. Dai Nam calls the document forged and has asserted their ownership of the area. Per our treaty with Siam we are obligated to defend them, but this is not a defensive dispute, should we side with Dai Nam they would lose no land which means we are beholden to no one except our own interests in this case. If we sideline our allies in Siam we might be able to establish greater influence in Dai Nam. How shall it be divided?;x;
100022OPTA;The Siamese are right, give them the land;x;
100022OPTB;The evidence is flimsy, they shall only get Cambodia;x;
100022OPTC;The evidence is flimsy, they shall only get Luang Prabang;x;
100022OPTD;An obvious forgery, Siam shall have nothing;x;
EVTNAME100030;The Perfidious Scottsman;x;
100030D;The Scottish bastards have awarded our rightful land to the Siamese! For them to meddle in our politics is a disgrace, we cannot take this lying down. We must act by declaring war on Siam to establish ourselves as the stronger power in Indochina. Some are concerned that the war might result in a Scottish military intervention but Dai Nam will win! We are a superior people!;x;
100030OPTA;DEATH TO SIAM;x;
100030OPTB;The Scottish will pay one day...;x;
EVTNAME100031;Scotland betrays us!;x;
100031D;The Scottish have sided with Dai Nam! They say our evidence is forged and have awarded all of the land to our rivals, despite our treaties and agreements with them. This is a grave insult, but aslong as we are subservient to the Westerners we are going to be at their mercy. Perhaps this could serve as a rallying cry to shape our own destiny?;x;
100031OPTA;DEATH TO DAI NAM;x;
100031OPTB;There is nothing we can do...;x;
EVTNAME100023;Irish Struggles;
100023D;The relation between Ireland and Scotland is a unique one. It is one of the oldest political unions to still exist but it is by no means a happy one. The rise of nationalism across Europe has led to calls in Ireland for an independent Irish state, something we could never agree to. The growing Irish rights movement is a problem, and there are some in our parliament that are sympathethic to their cause. This situation must be navigated very carefully, lest we trigger a fullscale civil war...;x;
100023OPT;Ireland, what trouble will you bring us...?;x;
EVTNAME100024;Irish Taxation;x;
100024D;We have a long established tax rate that differs between Scotland and Ireland. This fact has regretably served as a popular grievance for nationalist agitators in Ireland to rally behind. There have been calls in Ireland to establish a "tax repayment" period, where we would give them back some money to remedy the issue, but this proposal is very unpopular among the aristocrats in Scotland. Parliament is currently debating the issue with no clear winner, so the Prime Minister approached the King to request that he publicly support one of the proposals. This would be likely to end the debate, but the risk is that the King will be seen as responsible for any consequences following his decision. Which proposal will we support?;x;
100024OPTA;Tax them less;x;
100024OPTB;Tax them more;x;
100024OPTC;Tax them the same;x;
EVTNAME100025;The Irish Flag;x;
100025D;Due to the recent nationalist bout in Ireland some of the public demonstrations have started wielding a flag meant to represent Ireland. This is outrageous, and allowing it to continue will surely only embolden the Irish to seek further freedom. The flag has become a symbol that both radical nationalists and unionist liberals can rally behind, so if we were to ban it we might end up weakening support for the continuation of the union. The Prime Minister has 3 options, to let them fly the new Irish flag, make a new flag that represent Ireland and Scotland together or to ban the usage of the Irish flag. It would be quite humiliating to let them fly their own flag, a new union flag would enrage Scottish nationalists and banning their new flag will anger the irish nationalists. There truly is no winning this one.;x;
100025OPTA;Let them fly the Irish flag;x;
100025OPTB;Let's make a combined flag for our union;x;
100025OPTC;Force them to use the Scottish flag;x;
EVTNAME100026;The Irish Language;x;
100026D;With the establishment of schools owned by the state during the late 1700s we started spreading the usage of the Scottish language among the rich in Ireland. Due to recent expansions of the school system this has become true for the middle class in Ireland aswell, but the Irish nationalists have called it an attempt at destroying the Irish language. As our schools only teach subjects in the Scottish language and teachers are often forbidden from speaking Irish this accusation seems to ring true, atleast in the mind of a rabid nationalist. This has led to a debate in parliament about what we are to do regarding the Irish language. Some support a liberal approach and want to let the schools teach in Irish, while the conservatives support the current status quo. A few of the more radical liberals have proposed that we create a new Celtic language that borrows features from Scottish and Irish, but this is a very unpopular proposal.;x;
100026OPTA;They will learn the Kings language;x;
100026OPTB;Let them speak Irish;x;
100026OPTC;Lets create a unified celtic language;x;
EVTNAME100027;A Devestating Famine;x;
