key;ENGLISH;x
royal_inheritance_title;The Throne of Lorraine;x;
royal_inheritance_desc;Lorraine used to be part of our nation proper, but after the German Revolution they have had a semi-independent status. With our strength regained and our enemies busy elsewhere we can undo this wound to our nation.;x;
deal_with_picard_title;Deal with the Picards;x;
deal_with_picard_desc;The Picards have long been a thorn in our side. They do not see themselves as french enough to disrupt our rule of the region, but they are also not burgundian enough to be fully integrated into society. By giving some minor concessions we might finally be able to bring them into the fold and make reliable soldiers and administrators out of them.;x;
wef_france_title;The Throne of the West;x;
wef_france_desc;With the French nationalist movement finally crushed for good we can now claim our crown. Long have the scheming bohemians and ravenous french tried to stop us, but at last we have all the old lands of West Francia under our control! Long live the King!;x;
wef_france_2_title;The Kingdom of West Francia;x;
wef_france_2_desc;Now that we have stabilized our western lands we can finally proclaim ourselves the Kingdom of West Francia.;x;
wef_france_3_title;Lord of Western Europe;x;
wef_france_3_desc;While we have established ourselves as the Hegemon of France there is still a lingering fear of an Orleanist resurgence. We must consolidate our realm around the region of France and crush the remaining Orleanist loyalists.;x;
wef_east_path_title;The Eastern Holdings;x;
wef_east_path_desc;Although we are predominantly located around the Lowlands and France, the Rhenish are still our brothers. To let them fall to the mongrels of the East would be a betrayal and would also expose our heartland to their armies. We must stabilize our Eastern front and seize the Rhineland.;x;
lotharingia_france_title;The Throne of the West;x;
lotharingia_france_desc;With the Orleanists confederation finally crushed once and for all we can now claim our rightful crown. The scheming of the Bohemians and the French tried to stop us, but at last we have regained the lands of Western Lotharingia under our control. Long live the King!;x;
lotharingia_france_2_title;King of the West;x;
lotharingia_france_2_desc;Now that we have stabilized our western lands we can finally proclaim ourselves the Lords of West Francia;x;
lotharingia_rhineland_title;Protect the Rhineland;x;
lotharingia_rhineland_desc;With the Rhineland directly under our control we can integrate the rhenish and make sure that they know it is either our rule or bohemias catholic culture war that they will have to live under.;x;
lotharingia_rhineland_2_title;King of the East;x;
lotharingia_rhineland_2_desc;Let it be known far and wide, we have reclaimed our lands to the East and the Rhineland is under our protection.;x;
unite_lotharingia_title;The Kingdom of Lotharingia;x;
unite_lotharingia_desc;With our lands to the West and the East reclaimed we can now finally proclaim ourselves to be the Kingdom of Lotharingia.;x;
eaf_rhineland_title;Protect the Rhineland;x;
eaf_rhineland_desc;With the Rhineland finally directly under our control we can integrate the rhenish and make sure that they know it is either our rule or bohemias catholic culture war that they will have to live under.;x;
eaf_rhineland_2_title;The Kingdom of East Francia;x;
eaf_rhineland_2_desc;Let it be known far and wide, we are the Kingdom of East Francia and the Rhineland is under our protection.;x;
eaf_rhineland_3_title;Protector of Protestantism;x;
eaf_rhineland_3_desc;While we have unified the Rhine, the Catholics of the Empire still oppress our Protestant brothers. We must seek to free all protestant Germans from the clutches of the Western Slavic powers. For God, King and Country!;x;
eaf_west_path_title;The Western Holdings;x;
eaf_west_path_desc;Although we are predominantly located around the Rhine, the French will still seek to seize our lands in the west. Rather than going into Germany, we need to stabilize our western front to safeguard our position as hegemon of western Europe.;x;
101200D;We have accomplished the first step of undoing the Treaty of Paris, now we must ask ourselves what our future shall entail. The liberals in our government support retaking our Rhenish holding and restoring our place as the Protector of Protestantism. The Aristocracy support retaking our lands in France, likely expecting us to return them their stolen lands. There is also the third option, supported mainly by the King and his stooges in parliament, of attempting to restore the old Kingdom of Lotharingia. This would let us make both the Aristocracy and the Liberals happy, at the cost of making ourselves many enemies and having to deal with the issue of religion in our nation. What shall we do?;x;
101201D;We have united the Rhineland and proclaimed the Kingdom of East Francia, but the question now is what to do about our Western claims? The Kingdom of Burgundy used to own large parts of France, and the Orleanist Confederation is sure to seek orchestrating our downfall if the opportunity arises. Thus, focusing on stabilizing the West would let us protect the Rhineland with better resources and move the western front further away from our industrial heartland. The other option would be to give up our claims on the West in favor of consolidating our strength to liberate the protestants of Germany.§RThese options are mutually exclusive, you can either gain some cores in France or cores on more of Germany.§!;x;
101202D;We have unified the lands of the West and proclaimed the Kingdom of West Francia, but the question now is what to do about our Eastern claims? The Kingdom of Burgundy used to own large parts of the Rhine, and the Germans and Slavic forces are sure to lay claim to the Rhineland and attempt to destroy us if the opportunity arises. Thus, focusing on stabilizing the East would let us protect our French holdings with better resources and greater industrial strength, and move the eastern front further away from our industrial heartland. The other option would be to give up our claims on the East in favor of consolidating our strength to destroy Orleans and secure all of France.§RThese options are mutually exclusive, you can either gain cores in France or some cores on the Rhineland.§!;x;
