key;ENGLISH;x
reunite_the_rus_title;Reunite the Rus;x;
reunite_the_rus_desc;We can finally unite the Kievan Rus again!;x;
abandon_the_cossacks_title;Abandon the Cossacks;x;
abandon_the_cossacks_desc;Through blood and iron we can finally declare the formation of a Russian state to unite all the Russian people.;x;
a_unified_cossack_state_title;A Unified Cossack State;x;
a_unified_cossack_state_desc;Unite Ukraine under our host.;x;
ruthenian_accepted_title;Ruthenian Accepted;x;
ruthenian_accepted_desc;The Western Slavic people have long gone without a true state to call their home. The Rus shall be the home to all the Slavic peoples of Eastern Europe.;x;
ukrainian_accepted_title;A United Rus;x;
ukrainian_accepted_desc;A united Rus must consist of not only the lands of the Russians but all the lands of the Ukrainians too. From the Arctic to the Black sea all shall be part of the Rus.;x;
send_expedition_beyond_urals_title;Send an Expedition beyond the Urals;x;
send_expedition_beyond_urals_desc;We must venture past the Ural mountains and lay claim to the lands to the east;x;
expand_further_east_title;Expand Further East;x;
expand_further_east_desc;We must push further in the east, establishing ourselves as a true great power and a player in the Asian continent;x;
march_to_the_sea_title;March to the Sea;x;
march_to_the_sea_desc;We must continue our expansion in the east, with the ultimate goal of reaching the sea in the far east;x;
aquire_warm_water_ports_title;Aquire warm water ports;x;
aquire_warm_water_ports_desc;The region of Manchuria has long been an uncivilized region ruled by thiefs and bandits. We will grace the region with our benign rule and civilize its people;x;
subjugate_the_southeast_title;Subjugate the Southeast;x;
subjugate_the_southeast_desc;We must gain control of the southeast to protect the Russian heartland from foreign threats.;x;
expand_the_northern_front_title;Expand the Northern Front;x;
expand_the_northern_front_desc;The lands of Livonia could be a staging ground for an invasion into Russia. This must be avoided by making sure we control the region;x;
safeguard_st_petersburg_title;Safeguard St Petersburg;x;
safeguard_st_petersburg_desc;Our Capital is always going to be under threat of an invasion from Finland. We must push our border further North to avoid this.;x;
liberation_of_belarus_title;Liberation of Belarus;x;
liberation_of_belarus_desc;The Lands of Belarus have long lived under non slavic rule. We must save our slavic brothers from their Lithuanian overlords!;x;
subjugate_the_ruthenians_title;Subjugate the Ruthenians;x;
subjugate_the_ruthenians_desc;The lands of Ruthenia are vast and populous. We must guarantee that their lands are ruled by slavic rulers.;x;
crush_lithuania_title;Crush Lithuania;x;
crush_lithuania_desc;The Lithuanian menace has long been a thorn in our side, it is time for us to crush them once and for all.;x;
move_the_capital_title;Move the Capital;x;
move_the_capital_desc;The location of our capital has proven to be an issue as of recent, we should declare a new capital.;x;
ruthenians_are_ukrainian_too_title;Ruthenians are Ukrainian too!;x;
ruthenians_are_ukrainian_too_desc;The Ruthenians are closely related to the Ukrainian people. It should be easy to integrate them into our nation.;x;
the_caucasus_title;The Caucasus;x;
the_caucasus_desc;The Caucasus are a natural route of expansion for our growing Host.;x;
realize_greater_cossackstan_title;Realize Greater Cossackstan;x;
realize_greater_cossackstan_desc;The Kazakhs and Cossacks are spiritually brothers, we must unite!;x;
100300D;Since the fall of the Kievan Rus there has been a power struggle in Eastern Europe. The scheming Lithuanians have conspired with the Kingdom of Scandinavia and the cossacks to keep us weak and divided. Yet we have persevered, we have finally united the lands of Russia under our rule. We are no longer just a mere prince, we are Tsar of Russia! Urah!;x;
100301D;Our capital is located in an exposed position. Where should we move it to?;x;
