key;ENGLISH;x
integrate_the_slaves_title;The Elbe Slave Trade;x;
integrate_the_slaves_desc;The Low Germans have for a long time been treated as secondary citizens and slaves by the Sorbian upper class. While they surely deserve it the bohemian aristocracy has always had a distaste for it, thusly our only alternative is to end the barbaric practice and try to integrate the now free slaves into civilized society.;x;
crush_the_south_title;The Swabian Circle;x;
crush_the_south_desc;The Swabian states have always held a special place within the Empire. They did not join their German brothers during the wars of religion, staying loyal to the Emperor and the Holy See. They are a loyal catholic people, and integrating them into a unified Empire should be relatively easy.;x;
strangle_the_rhine_title;Strangle the Rhine;x;
strangle_the_rhine_desc;The Rhenish have evaded our rule with the help of the scheming Burgundians. After our recent ascenion however they can resist imperial authority no longer.;x;
form_holy_slavic_empire_title;Unite the Holy Slavic Empire!;x;
form_holy_slavic_empire_desc;§RThis decision requires owning all the cores of the Empire, via spheres, vassals or owning it directly. Any land that is majority rhenish is NOT needed for this formable.§! By finally reigning in those rouge German provinces and putting the pommeranians in their place we can finally unite the empire under our rule. No longer shall the slavs be mocked and belittled by the other great powers, from now on we will be the masters of Europe!;x;
form_kingdom_of_slavia_title;No more brother wars!;x;
form_kingdom_of_slavia_desc;§RThis decision requires most of Bohemia and most of Pomerania§! The antiquated empire has done nothing but drag us down by forcing us to respect the will of weak german aristocrats! By disolving the empire and creating a unified slavic kingdom we will finally be strong enough to not be pushed around by the other European powers! No Slav shall ever slay another Slav ever again. Niech zyje Slavia!;x;
form_holy_slavic_union_title;No more brother wars!;x;
form_holy_slavic_union_desc;§RThis decision requires most of Bohemia and most of Pomerania§! The antiquated empire has done nothing but drag us down by forcing us to respect the will of weak german aristocrats! By disolving the empire and creating a unified slavic kingdom we will finally be strong enough to not be pushed around by the other European powers! No Slav shall ever slay another Slav ever again. Niech zyje Slavia!;x;
