key;ENGLISH;x
italia_must_grow_larger_title;Italia must Expand;x;
italia_must_grow_larger_desc;The Italian state is the one true succesor to Rome, and as such we must bestow our civilized ways upon the former territories of Rome. The Balkans seem like a fine conquest for our reborn nation.;x;
annex_croatia_title;Annex Croatia;x;
annex_croatia_desc;With the Croatian lands firmly under our influence we can now properly integrate their lands.;x;
croatian_administration_title;Croatian Administration;x;
croatian_administration_desc;Now that we have established territorial control over Croatia we can finally allow local supporters to help govern the province.;x;
integrate_venetians_title;Integrate the Venetians;x;
integrate_venetians_desc;While the Venetians are proud and arrogant, they are still Italians at heart. With the recent wave of nationalism spreading across the country we can finally make them realize that they are not Venetians, but Italians.;x;
dominate_the_balkans_title;Dominate the Balkans;x;
dominate_the_balkans_desc;Poetry has become quite popular in Italy recently, and some writers have written great poems about the need to restore our rule over all the land that used to be Illyria.;x;
strengthen_our_grip_on_the_balkans_title;Strengthen our grip on the Balkans;x;
strengthen_our_grip_on_the_balkans_desc;As a final part of our campaign to conquer the Balkans we have but one piece missing: Bulgaria. With them conquered we will finally be the dominant power in the region.;x;
restore_venetian_greece_title;Restore Venetian Greece;x;
restore_venetian_greece_desc;In the olden days Venice used to be a dominant power in the Mediteranean in part due to our grip of Greece, allowing us to control trade in the Black sea. To restore our lost power we need to restore our control over Greece.;x;
unite_with_our_greek_brothers_title;Unite with our Greek Brothers;x;
unite_with_our_greek_brothers_desc;The Greeks are not a people, they are just Romans and Venetians that have made up an identity due to the trauma of no longer being ruled by Rome. However, with the restoration of our power we can once again administer Greece as a territory within our realm, and the greeks will, in no time, come to see themselves as our brothers.;x;
push_into_lombardy_title;Push into Lombardy;x;
push_into_lombardy_desc;The threat of Aragon increasing its control over Italy is very real, yet we seem to be the only ones to realize this fact. To prepare for their ambitions we must seize the Kingdom of Lombardy to strengthen our position in the region. §R Should we do this we would lock ourselves out of uniting the northern Italian states in a more diplomatic manner, we would be forced to aquire them and all of Italy via conquest. Click this decision at your own risk.§!;x;
restore_the_italian_league_title;Restore the Italian League;x;
restore_the_italian_league_desc;During the Italian wars of the 18th Century Northern Italy was used as a battleground between the French and Aragonese. To combat this a league was formed to safeguard our independence, led by us and Lombardy. While we did retain our independence and avoid a major Aragonese incursion, we did suffer some defeats against the French, leading to Provence currently occupying Piedmont. We must convince the other Italian states to bring back the league and kick the Provencal and Aragonese out of Italy. The league will of course need a leader, and who is better suited than us? §G Doing this will allow us to unite Northern Italy diplomatically. Having high relations with the North Italian states will make them more likely to accept our invitation. If they do accept we will gain an alliance with them, and this will also make it so that sphering or allying them later to unify the region isn't needed.§!;x;
kick_out_provence_title;Kicking out Provence;x;
kick_out_provence_desc;The first task of the League must be to liberate the Piedmontese land from Provencal control. Any doubt there might be about the League will be crushed if we ensure a swift restoration of land to one of the former regional powers in Italy.§RDoing this will start a war to liberate all cores of Piedmont. Should you succede this will help you unify the North Italian states as one nation.§!;x;
unify_the_league_title;Unify the League;x;
unify_the_league_desc;With all of Northern Italy aligned with our intentions we can now propose unifying our states under one nation. This will let us gather enough strength to force out the Aragonese. §G Any nation that accepted the invitation to the league will count towards the requirements to click this decision. So if they did accept the invitation when you sent it out, then you do not need them as a spearling or ally to click this decision. Neat, right?§!;x;
nil_unify_italy_title;Unify Italy;x;
nil_unify_italy_desc;With the ousting of Aragon we have put ourselves in a position to finally unify all of Italy. The future of Italy will be decided by the Italians alone.;x;
100500D;The Venetians have sent an invitation to join a reformed version of the North Italian League. They state that we need to be united to avoid Provencal and Aragonese domination of the region.;x;
100501D;Crown prince Ferdinand has yet again made a fool of our country. At a party in Naples the prince is rumoured to have said 'The neapolitans ought to thank us, their people are too lazy to administer and run a nation on their own.' This has led to outrage throughout Naples. People are saying that this belief surely is held by the rest of the royal house aswell, which makes the situation even worse. §R It is a shame that we must take this lying down, but in the future the people may eventually lose their patience...§!;x;
100502D;The Aragonese have succumbed to the diplomatic overtures made by Castille and have now united the two kingdoms. This has brought our current situation into question, we were only a vassal to Aragon due to our personal union, and with this new political entity known as Spain we owe no such obedience. The aristocrats are split in two groups, one wants to remain a vassal under this new Spanish crown, but with some more freedom, while the others want us to declare indepence. What shall we do?;x;
100503D;The Aragonese have grown weak and incompetent. With the Moslems and Castillians distracting them, and their failure to expand into Italy, we have a golden opportunity to finally rid ourselves of their oppressive leadership.;x;
100504D;The Aragonese menace has been defeated! With their defeat, we are finally able to govern our nation according to our needs rather than theirs. Long live Napoli!!!;x;
100505D;The King of the new Spanish nation has had the audacity to claim our throne! He argues that they have inherited the responsibilities and claims of both the Castillian and Aragonese crown. This is outrageous! However, they have a substantially stronger army than us, so if we can defeat them should they push this claim is unclear... How should our diplomats respond? §R(Spain has gained a casus belli to vassalize us, however they may choose to not pursue using it if we are lucky.)§!
100506D;The Venetians have proposed joining together under the banner of the North Italian League as a nation to kick out Aragon out of Italy. Eventually they likely intend to unify all of Italy under one banner. Do we wish to accept the proposal? §R If you are a player, selecting yes will annex you. Do not click it unless you want your game to end lol.§!;x;
