key;ENGLISH;x
end_the_civil_war_title;End the Civil War;x;
end_the_civil_war_desc;The Civil War has lasted for 10 years, but after much hardship we have finally defeated the forces loyal to the Danish Crown. A new dawn for the United Kingdom of Scandinavia begins today!;x;
our_return_to_the_isles_title;Return to the Isles;x;
our_return_to_the_isles_desc;We have not held any land in the Isles since the time of the North Sea Empire, yet we still have a strong cultural connection to the Norse people living there. It is time for us to return and restore our control in the region, we must do whatever it takes to protect our people.;x;
expanding_the_danelaw_title;Expand the Daneslaw;x;
expanding_the_danelaw_desc;With a foothold established we can now work on expanding our control in the Isles.;x;
integrating_the_norse_title;Integrating the Norse;x;
integrating_the_norse_desc;With our grip in the British Isles firm we can now begin integrating our cultural kin in the administration of the country.;x;
end_of_holsteinian_independence_title;End of Holstein;x;
end_of_holsteinian_independence_desc;The Duchy of Holstein has always had an issue with their loyalties. On paper they were a Duchy loyal to the Danish Crown, but the Duke was married to the sister of the rebel turned king that started the war for Swedish independence, and to top it all of they are also formally a part of the Holy Slavic Empire. These internal conflicts have caused several issues, and it is time for us to solve this conundrum once and for all. The solution is actually quite simple, by simply integrating the Duchy into our country these divided loyalties will cease to exist.;x;
restore_the_kurland_march_title;Restore control over Kurland;x;
restore_the_kurland_march_desc;We need to restore the Kurland march and our position in the Baltics.;x;
protecting_the_germans_title;Protect the Protestant Germans;x;
protecting_the_germans_desc;Aslong as the Sorbians hold dominion over Low Germans they will continue being mistreated due to their faith and ethnicity. As fellow Protestants we have a dute to protect them.;x;
one_people_one_kingdom_title;One people - One Kingdom!;x;
one_people_one_kingdom_desc;The Low Germans hold a close cultural connection to the Nordic people. It is time for us to fully embrace them as our brothers and at last declare an end to their oppression. We are henceforth One People, One Kingdom!;x;
claim_prussia_independence_title;Claim Prussia;x;
claim_prussia_independence_desc;The lands of Prussia would be an ideal place for us to conquer to expand our power in the Baltics.;x;
