key;ENGLISH;x
embrace_the_free_market_economy_title;Embrace the free Market Economy;x;
embrace_the_free_market_economy_desc;As a Merchant Republic it is only right that we embrace the free market economy. Doing so will lead to significant economic growth!;x;
seize_tropical_wood_title;Seize tropical wood;x;
seize_tropical_wood_desc;Our free market economy requires tropical wood. Yes. I do declare!;x;
support_the_merchant_marine_title;Support the Merchant Marine;x;
support_the_merchant_marine_desc;We should grant the merchant marine special priviledges. Doing so will greatly increase our naval might. Although it will likely cause them to start demanding more political rights later on...;x;
merchant_marine_funded;Merchant Marine Supported;x;
free_market_embraced;Free Market Embraced;x;
merchant_marine_demands_submitted;Submitted to Merchant Marine Demands;x;
merchant_marine_discontent;Merchant Marine Discontent;x;
merchant_marine_dismantled;Merchant Marine Dismantled;x;
merchant_marine_funded_desc;The Merchant Marine has been given special priviledges to strengthen our countries economy and naval prowess;x;
free_market_embraced_desc;Long live the invisible hand of the free Market!;x;
merchant_marine_demands_submitted_desc;We have submitted to the demands of the merchant marine for a more liberal government.;x;
merchant_marine_discontent_desc;We have upset our merchant marine;x;
merchant_marine_dismantled_desc;We have abandoned our support for the merchant marine;x;
economic_boom;Economic Boom;x;
economic_boom_desc;Our economy is booming!;x;
economic_crisis;Economic Crisis;x;
economic_crisis_desc;We are currently undergoing a severe economic downturn;x;
