EVTNAME5002;Stanley Cup;;;;;;x;
EVTDESC5002;Lord Stanley of Preston was very intrigued by ice hockey as he became Governor-General of the Dominion. Originally inscribed the Dominion Hockey Challenge Cup, the trophy was donated in 1892 by him, as an award for Canada's top-ranking amateur ice hockey club. ;;;;;;x;
EVTOPTA5002;This might become popular...;;;;;;x;
EVTNAME5001;World Cup of Football;;;;;;x;
EVTDESC5001;Uruguay have just hosted the first World Cup of Football, which was a stellar success. Even though not many countries managed to travel here from Europe, there were still great football played. And what was most important of all, Uruguay won the final 4-2 over Argentina!;;;;;;x;
EVTOPTA5001;Glory to Uruguay!;;;;;;x;
EVTNAME5000;First FA Cup Played;;;;;;x;
EVTDESC5000;In a hard fought thrilling game, the first FA cup was today played at the Kensington Oval in London. In a surprise result, the $PROVINCENAME$ Albion won with 1-0 over Queens Park. The Spiders showed a lot of sportsmanship during the game, but eventually lost to a goal by Alfred Goodwyn in the second half.;;;;;;x;
EVTOPTA5000;The Poor might enjoy it!;;;;;;x;
DEFINE_ADMIRAL_EFFECT;Gain the service of §YAdmiral $NAME$§W ($PER$ $BAC$).\n;;;;;;x;
DEFINE_GENERAL_EFFECT;Gain the service of §YGeneral $NAME$§W ($PER$ $BAC$).\n;;;;;;x;
DO_NOT_HAVE_TECH_TRI;Have NOT invented §Y$TECH$§W.\n;;;;;;x;
HAVE_TECH_TRI;Have invented §Y$TECH$§W.\n;;;;;;x;
NO_RAIL_YET;We can not encourage rail road building when we do not know how to build them yet.;;;;;;x;
NOT_DISC_THESE_YET;We can not encourage industries that have not yet been invented.;;;;;;x;
WAR_WE_ACCEPT_HEADER;The Foreign Minister reports;;;;;;x,,,,,,;
WAR_WE_ACCEPT_1;WAR!;;;;;;x,,,,,,;
WAR_WE_ACCEPT_2;$MONARCHTITLE$, $BADWORD$ in;;;;;;x;
WAR_WE_ACCEPT_3;$AGRESSOR$ declared war;;;;;;x,,,,,,;
WAR_WE_ACCEPT_4;upon us! Prepare for battle...;;;;;;x,,,,,,;
WAR_WE_ACCEPT_5;*;;;;;;x,,,,,,;
WAR_WE_ACCEPT_6;*;;;;;;x,,,,,,;
WAR_WE_ACCEPT_LOG;$AGRESSOR$ declared war on us!;;;;;;x,,,,,,;
WAR_WE_ACCEPT_BTN1;OK;OK;;;;;;x,,,,,,
WAR_WE_ACCEPT_BTN2;OK;OK;;;;;;x,,,,,,
WAR_WE_ACCEPT_BTN3;Go to;;;;;;x,,,,,,;
WAR_WE_ACCEPT_MAP;WAR!;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_SETUP;When a nation declares war on another nation;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_HEADER;The Foreign Minister reports;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_1;$AGRESSOR$;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_2;$MONARCHTITLE$, $AGRESSOR$;;;;;;x;
WAR_OTHER_ACCEPT_3;declared war;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_4;on their new enemy;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_5;$DEFENDER$;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_6;*;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_LOG;$AGRESSOR$ declared war on $DEFENDER$.;;;;;;x,,,,,,;
WAR_OTHER_ACCEPT_BTN1;OK;OK;;;;;;x,,,,,,
WAR_OTHER_ACCEPT_BTN2;OK;OK;;;;;;x,,,,,,
WAR_OTHER_ACCEPT_BTN3;Go to;;;;;;x;
DECLWAR_LIMITED;This war is a limited war.;;;;;;x;
WAR_THEY_ACCEPT_SETUP;When we declare war on another nation;;;;;;x;
WAR_THEY_ACCEPT_HEADER;The Foreign Minister reports;;;;;;x;
WAR_THEY_ACCEPT_1;We declared war on;;;;;;x;
WAR_THEY_ACCEPT_2;$DEFENDER$;;;;;;x;
WAR_THEY_ACCEPT_3;*;;;;;;x,,,,,,;
WAR_THEY_ACCEPT_4;*;;;;;;x;
WAR_THEY_ACCEPT_5;*;;;;;;x;
WAR_THEY_ACCEPT_6;*;;;;;;x;
WAR_THEY_ACCEPT_LOG;We declared war on $DEFENDER$.;;;;;;x;
WAR_THEY_ACCEPT_BTN1;OK;OK;;;;;;x
WAR_THEY_ACCEPT_BTN2;OK;OK;;;;;;x
WAR_THEY_ACCEPT_BTN3;Go to;;;;;;x;
WAR_THEY_ACCEPT_MAP;WAR!;;;;;;x;
LOSE_CORE_EFFECT_2;$WHO$ lose core on $LOSE$.\n;;;;;;x;
INFRA_LEVEL_HERE;Infrastructure at §Y$VAL$%§W.;;;;;;x;
fascist_group;Fascist parties;;;;;;x;
conservative_group;Conservative & Reactionary parties;;;;;;x;
socialist_group;Socialist & Communist parties;;;;;;x;
liberal_group;Liberal & Anarcho-Liberal parties;;;;;;x;
COALITION_WIN;A coalition of §Y$IDE$§W got $VAL$% of the vote, and will form the basis of the government.;;;;;;x;
COLONY_SUCCESS_SETUP;When we succeed with the colonization of a province.;;;;;;x;
COLONY_FAIL_SETUP;When we fail to colonize a province.;;;;;;x;
TOPBAR_INC_SPEED;Increase Speed;;;;;;x;
REMOVE_TOPBAR_DEC_SPEED;Increase Speed;;;;;;x;
TOPBAR_CLOSE_OUTLINER;Close Outliner;;;;;;x;
TOPBAR_OPEN_OUTLINER;Open Outliner;;;;;;x;
SLOWEST_SPEED;Slowest Speed;;;;;;x;
SLOW_SPEED;Slow Speed;;;;;;x;
NORMAL_SPEED;Normal Speed;;;;;;x;
FAST_SPEED;Fast Speed;;;;;;x;
FASTEST_SPEED;Fastest Speed;;;;;;x;
TOPBAR_DATE;This is the current date.\n(click to pause);;;;;;x;
TOPBAR_DATE_IS_PAUSED;This is the current date.\n(click to unpause);;;;;;x;
TOPBAR_PAUSE_INDICATOR;The game is currently paused.;;;;;;x;
TOPBAR_SPEED_INDICATOR;The game is running at §Y$SPEED$§W.;;;;;;x;
PLAYER_COUNTRY_TOPBAR_RANK;$NAME$ is a §Y$RANK$§W.;;;;;;x;
HAS_TECH_SCHOOL;Currently §Y$TECH$§W.\n;;;;;;x;
HAS_NOT_TECH_SCHOOL;Not embracing §Y$TECH$§W.\n;;;;;;x;
NEW_CORE_EFFECT_TAG;$TAG$ will gain §Yall§W as core.\n;;;;;;x;
ANY_OWNED_LIMITED;For Any province that is\n;;;;;;x;
TECH_MINE_SIZE;Mine Size;;;;;;x;
TECH_FARM_SIZE;Farm Size;;;;;;x;
USA_absolute_monarchy;Kingdom of America;;;;;;x;
USA_absolute_monarchy_ADJ;American;;;;;;x;
USA_hms_government;Kingdom of America;;;;;;x;
USA_hms_government_ADJ;American;;;;;;x;
USA_proletarian_dictatorship;American People's Republic;;;;;;x;
USA_proletarian_dictatorship_ADJ;American;;;;;;x;
ENG_proletarian_dictatorship;The Worker's Commonwealth;;;;;;x;
ENG_proletarian_dictatorship_ADJ;British;;;;;;x;
BOH_democracy;Czech Republic;;;;;;x;
BOH_democracy_ADJ;Czech;;;;;;x;
TUR_democracy;Turkey;;;;;;x;
TUR_democracy_ADJ;Turkish;;;;;;x;
KUK_democracy;The Danubian Confederation;;;;;;x;
KUK_democracy_ADJ;Danubian;;;;;;x;
BAV_proletarian_dictatorship;Bavarian Räterepublik;;;;;;x;
RUS_proletarian_dictatorship;Soviet Union;;;;;;x;
RUS_proletarian_dictatorship_ADJ;Soviet;;;;;;x;
NO_TECH_SELECTED;None Selected;;;;;;x;
IS_CIVILIZED;is civilized.;;;;;;x;
IS_NOT_CIVILIZED;is NOT civilized.;;;;;;x;
IS_INDEP;is NOT under foreign influence.;;;;;;x;
IS_NOT_INDEP;is under foreign influence.;;;;;;x;
ELECTION_INFO_IN_GOV;Election Campaign in Progress;;;;;;x;
REGIMENT_POP_NAME;$NUM$$ORDER$ $POP$ $TYPE$;;;;;;x;
REGIMENT_HOME_NAME;$NUM$$ORDER$ $HOME$ $TYPE$;;;;;;x;
SUBUNIT_POP;§Y$CULTURE$§W $TYPE$ from §Y$LOCATION$§W.;;;;;;x;
army_tech_research_bonus;Army Tech Research;;;;;;x;
commerce_tech_research_bonus;Commerce Tech Research;;;;;;x;
culture_tech_research_bonus;Culture Tech Research;;;;;;x;
industry_tech_research_bonus;Industry Tech Research;;;;;;x;
navy_tech_research_bonus;Navy Tech Research;;;;;;x;
THERE_ARE_BACKING;§Y$VAL$§W of the population want this reform.;;;;;;x;
ORG_EXPLANATION_TT;The higher this percentage is, the stronger the rebel uprising will become.;;;;;;x;
COLONIAL_MIGRATION_TECH;Colonial Migration;;;;;;x;
COMBAT_WIDTH_TECH;Combat Width;;;;;;x;
PLURALITY_EXPLANATION;Plurality is the shared level of consciousness in our country. The memories of the past victories and defeats in the name of liberty remind our people of what could be.;;;;;;x;
REMOVE_REVANCHISM_EXPLANATION;From the French word revenge, Revanchism is the yearning for the return for our rightful land. Our people are ready to make greater sacrifices for their return.;;;;;;x;
GAIN_PROVINCE;Gain §Y$WHERE$§W from §Y$WHO$§W.\n;;;;;;x;
build_kiel_canal_title;Build the Kiel Canal;;;;;;x;
build_kiel_canal_desc;Building a canal between the Baltic and The North Sea would be a tremendous boon to our shipping, and we are in a position to build one in Kiel.;;;;;;x;
build_suez_canal_title;Build the Suez Canal;;;;;;x;
build_suez_canal_desc;One of the long standing problems for shipping on the Far Eastern and India trades has always been the need to round the African Cape in order to actually get there. By establishing a canal through the Suez, we will shorten the journey to Asia by days, as well as perform a wonderful feat of modern engineering.;;;;;;x;
build_panama_canal_title;Build Panama Canal;;;;;;x;
build_panama_canal_desc;Proposals for a Canal across the Panama Isthmus probably date back to the first discovery of the area. Nowhere is the strip of land that unites the North and South American continents thinner than here, and, with the aid of modern engineering, we could shorten the travel time between the Atlantic and The Pacific by several days by building it.;;;;;;x;
REVANCHISM_LOWER;Revanchism lower than §Y$VAL$§W.\n;;;;;;x;
REVANSCHISM_ATLEAST;Revanchism is at least §Y$VAL$§W.\n;;;;;;x;
CANAL_1;Kiel Canal;;;;;;x;
CANAL_2;Suez Canal;;;;;;x;
