key;ENGLISH;x
west_slavic;West Slavic;x;
bohemian;Bohemian;x;
pommeranian;Sorbian;x;
ashkenazi;Ashkenazi;x;
slovak;Slovak;x;
polish;Polish;x;
germanic;Germanic;x;
rhenish;Rhenish;x;
north_german;Low German;x;
south_german;Swabian;x;
swiss;Swiss;x;
teuton;Teuton;x;
lotharingian;Lotharingian;x;
burgundian;Burgundian;x;
dutch;Dutch;x;
picard;Picard;x;
nordic;Nordic;x;
scandinavian;Scandinavian;x;
finnish;Finnish;x;
british;British;x;
saxon;Saxon;x;
scottish;Scottish;x;
welsh;Welsh;x;
norse;Norse;x;
irish;Irish;x;
italian;Italian;x;
north_italian;North Italian;x;
south_italian;South Italian;x;
venetian;Venetian;x;
iberian;Iberian;x;
basque;Basque;x;
castillian;Castillian;x;
catalan;Catalan;x;
andalusian;Andalusian;x;
french;French;x;
norman;Norman;x;
occitan;Occitan;x;
provencal;Provencal;x;
south_slavic;South Slavic;x;
croat;Croatian;x;
serb;Serbian;x;
bulgarian;Bulgarian;x;
romanian;Romanian;x;
albanian;Albanian;x;
slovene;Slovene;x;
hungarian;Hungarian;x;
east_slavic;East Slavic;x;
russian;Russian;x;
byelorussian;Byelorussian;x;
ukrainian;Ukrainian;x;
ruthenian;Ruthenian;x;
baltic;Baltic;x;
lithuanian;Lithuanian;x;
estonian;Estonian;x;
levantine;Levantine;x;
antiqua_greek;Antiqua Greek;x;
novum_greek;Novum Greek;x;
georgian;Georgian;x;
armenian;Armenian;x;
sephardic;Sephardim;x;
maghrebi;Maghrebi;x;
misri;Misri;x;
mashriqi;Mashriqi;x;
bedouin;Bedouin;x;
anatolian;Anatolian;x;
azerbaijani;Azerbaijani;x;
north_caucasian;North Caucasian;x;
kurdish;Kurdish;x;
persian;Persian;x;
kazak;Kazakh;x;
uighur;Uighur;x;
pashtun;Pashtun;x;
baluchi;Baluchi;x;
hazara;Hazara;x;
central_asian;Central Asian;x;
mongol;Mongol;x;
khitan;Khitan;x;
siberian;Siberian;x;
yakut;Yakut;x;
tibetan;Tibetan;x;
south_asian;South Asian;x;
assamese;Assamese;x;
bengali;Bengali;x;
bihari;Bihari;x;
manipuri;Manipuri;x;
nepali;Nepali;x;
oriya;Oriya;x;
sinhala;Sinhala;x;
avadhi;Avadhi;x;
kanauji;Kanauji;x;
panjabi;Panjabi;x;
gujarati;Gujarati;x;
marathi;Marathi;x;
sindi;Sindi;x;
rajput;Rajput;x;
kannada;Kannada;x;
kashmiri;Kashmiri;x;
malayalam;Malayalam;x;
tamil;Tamil;x;
telegu;Telegu;x;
southeast_asian;x;
vietnamese;Vietnamese;x;
khmer;Khmer;x;
malay;Malay;x;
filipino;Filipino;x;
javan;Javan;x;
moluccan;Moluccan;x;
thai;Thai;x;
lao;Lao;x;
shan;Shan;x;
burmese;Burmese;x;
asian_minor;Asian Minor;x;
kachin;Kachin;x;
karen;Karen;x;
east_asian;East Asian;x;
japanese;Japanese;x;
manchu;Manchu;x;
gao_chen;Gao Chen;x;
manzi;Manzi;x;
wu;Wu;x;
korean;Korean;x;
min;Min;x;
yi;Yi;x;
yue;Yue;x;
oceanic;Oceanic;x;
polynesian;Polynesian;x;
hawaiian;Hawaiian;x;
maori;Maori;x;
aborigine;Aborigine;x;
melanesian;Melanesian;x;
micronesian;Micronesian;x;
native_american;Native American;x;
mayan;Aztec;x;
quechua;Quechua;x;
guarani;Guarani;x;
aimara;Aimara;x;
amazonian;Amazonian;x;
patagonian;Patagonian;x;
guajiro;Guajiro;x;
metis;Metis;x;
dakota;Dakota;x;
cherokee;Cherokee;x;
inuit;Inuit;x;
cree;Cree;x;
navajo;Navajo;x;
iroquois;Iroquois;x;
inca;Inca;x;
native_american_minor;Native American Minor;x;
neo_european_cultures;Neo European Cultures;x;
italiano;Italiano;x;
french_canadian;Quebecois;x;
nuevo_castillian;Nuevo Castillian;x;
texan;Texan;x;
boer;Boer;x;
australian;Australian;x;
latin_american_cultures;Latin American Cultures;x;
mexican;Mexican;x;
rifian;Rifian;x;
central_american;Central American;x;
caribeno;Caribeno;x;
columbian;Columbian;x;
platinean;Platinean;x;
belgisch;Belgisch;x;
hansard;Hansard;x;
african_diaspora_cultures;African Diaspora Cultures;x;
afro_castillian;Afro Castillian;x;
afro_caribbean;Afro Carribean;x;
zwarte_persoon;Zwarte Persoon;x;
west_african;West African;x;
akan;Akan;x;
tuareg;Tuareg;x;
yoruba;Yoruba;x;
bakongo;Bakongo;x;
mongo;Mongo;x;
african_minor;African Minor;x;
east_african;East African;x;
amhara;Amhara;x;
azande;Azande;x;
somali;Somali;x;
southern_african;Southern African;x;
khoisan;Khoisan;x;
yao;Yao;x;
zulu;Zulu;x;
