key;ENGLISH;x
form_kurdistan_title;Balfour Declaration;x;
form_kurdistan_desc;The kurds are our greatest ally and need to be returned to their homeland!;x;
demote_crats_title;Demote Bureaucrats;x;
demote_crats_desc;Bureaucrat fix;x;
will_receive_title;Request a Grant;x;
will_receive_desc;This requests a grant from all player nations with grants enabled.;x;
will_give_title;Enable giving grants;x;
will_give_desc;You can now receive grant requests;x;
will_not_give_title;Disable giving grants;x;
will_not_give_desc;You will now not receive grant requests;x;
had_cholera;Cholera epidemic;;;;;;x;
had_cholera_desc;Our nation is experiencing outbreaks of cholera.;;;;;;x;
MIL_FROM_TROOPS;Soldiers & Army;;;x
CAMPAIGN_NAME;The Fall of Genghis;x;
CAMPAIGN_DESC;Once upon a time a man named Genghis Khan was about to go west and conquer the world. However, when he reached the Urals he got scared due to a fear of heights, so instead he went south to Indonesia and started a spa resort. This led to the western slavic people being more organized, culminating in the Bohemian coup where the emperor of the HRE was overthrown and a slavic emperor took his place. It has now been 15 years since the Great German revolt was crushed by the emperor, and the armies of Europe are preparing for yet another hugbox gank. Pick your nation, and let your weapons sing lovely melodies.;x;
