key;ENGLISH;x
CAS;Castille;x;
CAS_ADJ;Castillian;x;
CAS_republic;Republic of Castille;x;
CAS_democracy;Republic of Castille;x;
CAS_conservative;Partido Moderado;x;
CAS_conservative_2;Unión Liberal;x;
CAS_conservative_3;Lliga Regionalista Col.;x;
CAS_conservative_4;Nacionalista Cuba;x;
CAS_conservative_5;Unión Nacional;x;
CAS_reactionary;Communión Carlista;x;
CAS_liberal;Partido Progresista;x;
CAS_liberal_2;Republicano Federal;x;
CAS_liberal_3;Republicano Unitario;x;
CAS_liberal_4;Radical Republicano;x;
CAS_liberal_5;Unión Republicana;x;
CAS_liberal_6;Republicano Reformista;x;
CAS_liberal_7;Solidaridad Colombia!;x;
CAS_socialist;Partido Socialista;x;
CAS_communist;Federación Regional;x;
CAS_anarcho_liberal;Partido Radical;x;
CAS_fascist;Falange;x;
ARO;Aragon;x;
ARO_ADJ;Aragonian;x;
ARO_hms_government;Kingdom of Aragon;x;
ARO_republic;The Free Catalan Republic;x;
ARO_conservative;Renaixenca Català;x;
ARO_conservative_2;Regionalista Catalana;x;
ARO_reactionary;Nationalist de Catalana;x;
ARO_liberal;Centre Català;x;
ARO_liberal_2;Solidaritat Catalana;x;
ARO_liberal_3;Partit Radical Republicà;x;
ARO_anarcho_liberal;Unió Catalanista;x;
ARO_socialist;Socialistes de Catalunya;x;
ARO_communist;Communist de Catalana;x;
ARO_fascist;Fascist de Catalana;x;
NAV;Navarre;x;
NAV_ADJ;Navarran;x;
NAV_absolute_monarchy;Kingdom of Navarre;x;
NAV_republic;The Basque Republic;x;
NAV_democracy;The Basque Republic;x;
NAV_conservative;Monarchistos;x;
NAV_reactionary;Nationalist de Basque;x;
NAV_liberal;Centre Basque;x;
NAV_anarcho_liberal;Unió Navarre;x;
NAV_socialist;Socialistes de Basque;x;
NAV_communist;Communist de Basque;x;
NAV_fascist;Fascist de Navarre;x;
ALA;Al-Andalus;x;
ALA_ADJ;Andalusian;x;
ALA_caliphate;Umayyad Caliphate;x;
ALA_caliphate_ADJ;Umayyad;x;
ALA_reactionary;Allah Qua;x;
ALA_conservative;Taqadam Bati;x;
ALA_liberal;Alliybraliat Aljadida;x;
ALA_liberal_2;Almustaqbal;x;
ALA_anarcho_liberal;Aleankabut Alliybraliu;x;
ALA_socialist;Almarkisiat Al'Andalusia;x;
ALA_socialist_2;Aliaishtirakiat Alkurdufia;x;
ALA_communist;Aleumaal Althawriuwn;x;
ALA_fascist;Bifadl Allah Nantasir;x;
HNA;Holy Kingdom of Allah;x;
HNA_ADJ;Devout;x;
HNA_caliphate;Holy Caliphte of Allah;x;
HNA_caliphate_ADJ;Most Devout;x;
HNA_republic;Allahs Holy Democracy;x;
HNA_republic_ADJ;Most Democratic;x;
HNA_merchant_republic;Allahs Econ 101;x;
HNA_merchant_republic_ADJ;Most Economical;x;
HNA_fascist;Holy State of Allah;x;
HNA_fascist_ADJ;Most Orderly;x;
HNA_communist;Allahs Autonomous Workers State;x;
HNA_communist_ADJ;Most Organized;x;
HNA_reactionary;Allah Qua;x;
HNA_conservative;Taqadam Bati;x;
HNA_liberal;Alliybraliat Aljadida;x;
HNA_liberal_2;Almustaqbal;x;
HNA_anarcho_liberal;Aleankabut Alliybraliu;x;
HNA_socialist;Almarkisiat Al'Andalusia;x;
HNA_socialist_2;Aliaishtirakiat Alkurdufia;x;
HNA_communist;Aleumaal Althawriuwn;x;
HNA_fascist;Bifadl Allah Nantasir;x;
ART;Kingdom of Aragon-Italy;x;
ART_ADJ;Aragonian;x;
ART_republic;The Consular Republic of Rome;x;
ART_conservative;Pompeians;x;
ART_conservative_2;Christiano Democrato;x;
ART_reactionary;Octavians;x;
ART_liberal;Centristi;x;
ART_liberal_2;Caesarians;x;
ART_liberal_3;Partit Radical Republicà;x;
ART_anarcho_liberal;Anarchisto Leaguo;x;
ART_socialist;Workers Solidarty Front;x;
ART_communist;Communist de Italia;x;
ART_fascist;Sullians;x;
