key;ENGLISH;x
DOP;Dop;x;
DOP_ADJ;Dopian;x;
DOP_reactionary;Patsalar joli;x;
DOP_conservative;Saqtaw;x;
DOP_liberal;liberaldi;x
DOP_anarcho_liberal;Örmeksi-liberaldi;x;
DOP_socialist;Jumissilar;x;
DOP_communist;Aswli jumissilar;x;
DOP_fascist;Aswli adam!;x;
CHA;Chagatai;x;
CHA_ADJ;Chagataian;x;
CHA_khanate;The Chagatai Horde;x;
CHA_reactionary;Ulamjlal;x;
CHA_conservative;Togtvortoi zam;x;
CHA_liberal;Ireeduin zam;x;
CHA_anarcho_liberal;Ediin zasgiin zam;x;
CHA_socialist;Ajilchdyn zam;x;
CHA_communist;Ulaan mori;x;
CHA_fascist;Moriny jüchee;x;
OYI;Oyirat;x;
OYI_ADJ;Oyirat;x;
OYI_khanate;The Oyirat Horde;x;
OYI_reactionary;Ulamjlal;x;
OYI_conservative;Togtvortoi zam;x;
OYI_liberal;Ireeduin zam;x;
OYI_anarcho_liberal;Ediin zasgiin zam;x;
OYI_socialist;Ajilchdyn zam;x;
OYI_communist;Ulaan mori;x;
OYI_fascist;Moriny jüchee;x;
MER;Merkits;x;
MER_ADJ;Merkit;x;
MER_khanate;The Merkits Horde;x;
MER_reactionary;Ulamjlal;x;
MER_conservative;Togtvortoi zam;x;
MER_liberal;Ireeduin zam;x;
MER_anarcho_liberal;Ediin zasgiin zam;x;
MER_socialist;Ajilchdyn zam;x;
MER_communist;Ulaan mori;x;
MER_fascist;Moriny jüchee;x;
NAI;Naiman;x;
NAI_ADJ;Naimanite;x;
NAI_khanate;The Naiman Horde;x;
NAI_reactionary;Ulamjlal;x;
NAI_conservative;Togtvortoi zam;x;
NAI_liberal;Ireeduin zam;x;
NAI_anarcho_liberal;Ediin zasgiin zam;x;
NAI_socialist;Ajilchdyn zam;x;
NAI_communist;Ulaan mori;x;
NAI_fascist;Moriny jüchee;x;
UYG;Uyghur;x;
UYG_ADJ;Uyghur;x;
UYG_khanate;The Uyghur Horde;x;
UYG_reactionary;Ulamjlal;x;
UYG_conservative;Togtvortoi zam;x;
UYG_liberal;Ireeduin zam;x;
UYG_anarcho_liberal;Ediin zasgiin zam;x;
UYG_socialist;Ajilchdyn zam;x;
UYG_communist;Ulaan mori;x;
UYG_fascist;Moriny jüchee;x;
BAT;The Batbayar Horde;x;
BAT_ADJ;Batbayaran;x;
TAI;Taichiud;x;
TAI_ADJ;Taichiudian;x;
GBT;Greater Batbayar;x;
GBT_ADJ;Batbayaran;x;
MGE;The Great Khanate;x;
MGE;Mongol;x;
