key;ENGLISH;x
UKR;Ukraine;x;
UKR_ADJ;Ukrainian;x;
NOV;Novgorod;x;
NOV_ADJ;Novgorodian;x;
NOV_merchant_republic;The Republic of Novgorod;x;
NOV_reactionary;Fraktsiya Dozhey;x;
NOV_conservative;Gil'diya torgovtsev;x;
NOV_conservative_2;Monarkhisty;x;
NOV_liberal;Fraktsiya Byurgerov;x;
NOV_liberal_2;Dekabristy;x;
NOV_socialist;Rabochaya partiya;x;
NOV_socialist_2;Sotsial-demokraty;x;
NOV_socialsit_3;DSPNR;x;
NOV_communist;Revolyutsionnaya partiya;x;
NOV_communist_2;Radikal'nyy Soyuz;x;
NOV_anarcho_liberal;Novyy Liberal;x;
NOV_fascist;Voyennaya fraktsiya;x;
VLA;Vladimir;x;
VLA_ADJ;Vladimirian;x;
VLA_reactionary;Boyarskaya fraktsiya;x;
VLA_conservative;Storonniki Printsa;x;
VLA_liberal;Dekabristy;x;
VLA_anarcho_liberal;Pauk-Liberal;x;
VLA_socialist;Natsional'naya Kommuna;x;
VLA_communist;Radikal'nyye rabochiye;x;
VLA_fascist;Natsional'naya Liga Spaseniya;x;
SMO;Smolensk;x;
SMO_ADJ;Smolenskian;x;
SMO_reactionary;Boyarskaya fraktsiya;x;
SMO_conservative;Storonniki Printsa;x;
SMO_liberal;Dekabristy;x;
SMO_anarcho_liberal;Pauk-Liberal;x;
SMO_socialist;Natsional'naya Kommuna;x;
SMO_communist;Radikal'nyye rabochiye;x;
SMO_fascist;Natsional'naya Liga Spaseniya;x;
RYA;Ryazan;x;
RYA_ADJ;Ryazan;x;
RYA_reactionary;Boyarskaya fraktsiya;x;
RYA_conservative;Storonniki Printsa;x;
RYA_liberal;Dekabristy;x;
RYA_anarcho_liberal;Pauk-Liberal;x;
RYA_socialist;Natsional'naya Kommuna;x;
RYA_communist;Radikal'nyye rabochiye;x;
RYA_fascist;Natsional'naya Liga Spaseniya;x;
KIE;Kievan Rus;x;
KIE_ADJ;Kievan;x;
KIE_reactionary;Hetmanska fraktsiya;x;
KIE_conservative;Pomirkovani;x;
KIE_conservative_2;Monarkhisty;x;
KIE_liberal;Liberalna partiya;x;
KIE_liberal_2;Maybutniy shlyakh;x;
KIE_socialist;Robitnycha partiya;x;
KIE_socialist_2;Sotsial-demokraty;x;
KIE_socialsit_3;Chervonyy burzhuy;x;
KIE_communist;Revolyutsiyna partiya;x;
KIE_communist_2;Radykalni sotsialisty;x;
KIE_anarcho_liberal;Pavuk-Liberal;x;
KIE_fascist;Banderivets;x;
LUH;Luhansk;x;
LUH_ADJ;Luhanskian;x;
LUH_cossack_host;Luhansk Host;x;
LUH_reactionary;Hetmanska fraktsiya;x;
LUH_conservative;Pomirkovani;x;
LUH_liberal;Liberalna partiya;x;
LUH_anarcho_liberal;Pavuk-Liberal;x;
LUH_socialist;Robitnycha partiya;x;
LUH_communist;Revolyutsiyna partiya;x;
LUH_fascist;Banderivets;x;
ROS;Rostov;x;
ROS_ADJ;Rostovite;x;
ROS_cossack_host;Rostov Host;x;
ROS_reactionary;Hetmanska fraktsiya;x;
ROS_conservative;Pomirkovani;x;
ROS_liberal;Liberalna partiya;x;
ROS_anarcho_liberal;Pavuk-Liberal;x;
ROS_socialist;Robitnycha partiya;x;
ROS_communist;Revolyutsiyna partiya;x;
ROS_fascist;Banderivets;x;
GRO;Grozny;x;
GRO_ADJ;Groznian;x;
GRO_cossack_host;Groznyan Host;x;
GRO_reactionary;Hetmanska fraktsiya;x;
GRO_conservative;Pomirkovani;x;
GRO_liberal;Liberalna partiya;x;
GRO_anarcho_liberal;Pavuk-Liberal;x;
GRO_socialist;Robitnycha partiya;x;
GRO_communist;Revolyutsiyna partiya;x;
GRO_fascist;Banderivets;x;
SRT;Saratov;x;
SRT_ADJ;Saratovian;x;
SRT_cossack_host;Saratovian Host;x;
SRT_reactionary;Hetmanska fraktsiya;x;
SRT_conservative;Pomirkovani;x;
SRT_liberal;Liberalna partiya;x;
SRT_anarcho_liberal;Pavuk-Liberal;x;
SRT_socialist;Robitnycha partiya;x;
SRT_communist;Revolyutsiyna partiya;x;
SRT_fascist;Banderivets;x;
EST;Livonia;x;
EST_ADJ;Livonian;x;
