key;ENGLISH;x
securing_macedonia_title;Securing Macedonia;x;
securing_macedonia_desc;To protect our heartland we must secure Macedonia and kill the tyranical Bulgars!;x;
defensive_expansion_title;Defensive Expansion;x;
defensive_expansion_desc;We are weak and exposed, to remedy this we must expand, but in a defensive manner!;x;
restoring_old_illyria_title;Restoring old Illyria;x;
restoring_old_illyria_desc;With our control over the balkans solidified we can not restore the governate of Illyria to help us manage administrating much of our new land.;x;
recruit_the_bulgarians_title;Recruit the Bulgarians;x;
recruit_the_bulgarians_desc;Recruit the Bulgarians as administrators and soldiers.;x;
local_serbian_administrators_title;Local Serbian Administrators;x;
local_serbian_administrators_desc;While Serbians are in general quite incompetent, they would make damn fine bureaucrats!;x;
the_kayseri_accords_title;The Kayseri Accords;x;
the_kayseri_accords_desc;To further our control of Anatolia and to make the front more stable we need to give more rights to the Anatolians so that they will stop resisting us!;x;
mend_the_schizm_title;Mend the Schizm;x;
mend_the_schizm_desc;It has nearly been 800 years since our realm was effectively split in two with the greek schizm, but with our recent gains and legislation we have finally been able to mend the old wounds! Huzzah!;x;
push_into_levant_cap_title;Push into the Levant;x;
push_into_levant_cap_desc;With our victory over the Sultanate of Rum we must now push our advantage and retake the Levant.;x;
protector_of_east_christians_title;Protector of East Christians;x;
protector_of_east_christians_desc;With our recent defeat of the Islamic hordes we must safeguard the rights of all Christians in the middle east. If we consolidate into one nation, we can ensure that no christian may be harmed by foreign religion ever again.;x;
cap_invade_iraq_title;Invade Iraq;x;
cap_invade_iraq_desc;The final part of our conquest is to establish dominance over the region via taking Iraq. It will give us a good route to wield power in the middle east and further our ambitions in Asia if we have any.;x;
securing_naples_title;Securing Naples;x;
securing_naples_desc;To establish our regime as the true heirs to Rome, we must acquire a foothold in Italy. Naples is the perfect place to start.;x;
hold_triumph_title;Hold a Triumph;x;
hold_triumph_desc;To celebrate our recent victories and assert our grip on the land we shall host a triumph in the style of ancient Rome, to exalt our ruler and show the world our power. §GThis decision is required before 1860, otherwise the people will overthrow your regime.§!;x;
crown_emperor_title;Crown the Emperor;x;
crown_emperor_desc;The final part of our imperial restoration is at hand. All that is left is to conquer Rome and crown our leader Emperor. This will cement our state as an eternal one, that the history books will remember for all time. §GThis decision will make it so that losing Anatolia is not an instant failstate.§!;x;
liberate_macedonia_title;Liberate Macedonia;x;
