key;ENGLISH;x
italia_must_grow_larger_title;Italia must grow larger;x;
italia_must_grow_larger_desc;Italy big;x;
annex_croatia_title;Annex Croatia;x;
annex_croatia_desc;Annex Croatia;x;
croatian_administration_title;Croatian Administration;x;
croatian_administration_desc;Croat accepted;x;
dominate_the_balkans_title;Dominate the Balkans;x;
dominate_the_balkans_desc;Cores in Bulgaria I think?;x;
strengthen_our_grip_on_the_balkans_title;Strengthen our grip on the Balkans;x;
strengthen_our_grip_on_the_balkans_desc;Or this might be the Bulgaria cores idfk;x;
restore_venetian_greece_title;Restore Venetian Greece;x;
restore_venetian_greece_desc;Greece cores;x;
unite_with_our_greek_brothers_title;Unite with our Greek Brothers;x;
unite_with_our_greek_brothers_desc;Cores and Accepted in Greece;x;
100501D;Crown prince Ferdinand has yet again made a fool of our country. At a party in Naples the prince is rumoured to have said 'The neapolitans ought to thank us, their people are too lazy to administer and run a nation on their own.' This has led to outrage throughout Naples. People are saying that this belief surely is held by the rest of the royal house aswell, which makes the situation even worse. §R It is a shame that we must take this lying down, but in the future the people may eventually lose their patience...§!;x;
100502D;The Aragonese have succumbed to the diplomatic overtures made by Castille and have now united the two kingdoms. This has brought our current situation into question, we were only a vassal to Aragon due to our personal union, and with this new political entity known as Spain we owe no such obedience. The aristocrats are split in two groups, one wants to remain a vassal under this new Spanish crown, but with some more freedom, while the others want us to declare indepence. What shall we do?;x;
100503D;The Aragonese have grown weak and incompetent. With the Moslems and Castillians distracting them, and their failure to expand into Italy, we have a golden opportunity to finally rid ourselves of their oppressive leadership.;x;
100504D;The Aragonese menace has been defeated! With their defeat, we are finally able to govern our nation according to our needs rather than theirs. Long live Napoli!!!;x;
100505D;The King of the new Spanish nation has had the audacity to claim our throne! He argues that they have inherited the responsibilities and claims of both the Castillian and Aragonese crown. This is outrageous! However, they have a substantially stronger army than us, so if we can defeat them should they push this claim is unclear... How should our diplomats respond? §R(Spain has gained a casus belli to vassalize us, however they may choose to not pursue using it if we are lucky.)§!
