key;ENGLISH;x
accept_norse_title;Remedying the Wounds left by St Brice's Day;;x;
accept_norse_desc;Ever since the St Brice's Day massacre the norse people inhabiting our lands have seen us as untrustworthy. While in the past we have not bothered dealing with the problem due to our uninvolvement in most European affairs, recent developments make a stable homefront a neccesity. Regretably nowadays you cannot commit a massacre in Europe without people getting mad, so we must instead finally sign a treaty with the norse people so that they will identify as Englishmen.;;x;
reform_uk_title;Reform United Kingdoms;;x;
reform_uk_desc;Europe seems unpleasant to deal with so instead we shall unite the isles!;;x;
alternative_to_germany_title;Alternative to Germany;;x;
alternative_to_germany_desc;While we could stay here on our island and not care about what goes on in Europe it is simply not possible to do so. The brutal savages in the Holy Slavic Empire are oppressing our German brothers and we cannot turn a blind eye any longer! The German states are too weak to form a independent german nation due to burgundian and bohemian domineering so we must do it for them! Deutschland den Deutschen, ausländer raus!;;x;
EVTNAME100020;Coup in Siam;;x;
100020D;The King of Siam is dead! His heir, His Royal Highness John Siam, has been overthrown by the landed nobles and replaced by his brother. This has been disastrous for the Scottish East Asia Company as they have invested a lot of money in Siam, and the new government seems far less willing to cooperate with us. The legitimate Prince has started gathering troops in Johore to retake his throne, and we could use his legitimate claim to the throne to intervene and further our grip of the Indochina area. What should we do?;x;
100020OPTA;We shall come to his Aid!;x;
100020OPTB;Tsk, we shall stay out of this fools errand!;x;
EVTNAME100021;The Pretender Defeated!;x;
100021D;With our help the King of Siam has been able to claim his throne, and due to our contribution to his victory we have received quite favorable terms for trade! We have also established a permanent diplomat in the country and signed a treaty, giving us control of some of Siams foreign policy at the cost of having to defend them in case of invasion or unrest. This is truly another splendid deal for us, we are gonna be rich!;x;
100021OPT;I can smell the money already!;x;
EVTNAME100022;Border dispute in Indochina!;x;
100022D;Yo yo that is crazy!!!;x;
100022OPTA;FUCK DAI NAM!!!;x;
100022OPTB;FUCK DAI NAM BUT SLIGHTLY LESS!!!;x;
100022OPTC;FUCK SIAM!!!;x;
100022OPTD;SUPER FUCK SIAM!!!;x;
EVTNAME100030;The Perfidious Scottsman...;x;
100030D;Fuck Scotland bro...;x;
100030OPTA;RAAAAH DEATH TO SIAM;x;
100030OPTB;I am le cuck;x;
EVTNAME100031;Scotland betrays us...?;x;
100031D;How could they....;x;
100031OPTA;RAAAAAH DEATH TO DAI NAM!!!!;x;
100031OPTB;I am le cuck;x;
EVTNAME100023;Irish Struggle Start;
100023D;Description;x;
100023OPT;Uh oh, that sounds bad!;x;
EVTNAME100024;Irish Taxation;x;
100024D;Description;x;
100024OPTA;Tax them less;x;
100024OPTB;Tax them more;x;
100024OPTC;Tax them the same;x;
EVTNAME100025;Irish Flag;x;
100025D;Description;x;
100025OPTA;Let them fly the Irish flag;x;
100025OPTB;Let's make a flag for our union;x;
100025OPTC;Force them to use the Scottish flag;x;
EVTNAME100026;Irish Language;x;
100026D;Description;x;
100026OPTA;Force them to learn Scottish;x;
100026OPTB;Let them use Irish;x;
100026OPTC;Lets create a unified celtic language;x;
EVTNAME100027;Famine;x;
100027D;Description;x;
100027OPTA;We can keep it localized to Scotland;x;
100027OPTB;The Irish shall bear the brunt of the suffering;x;
100027OPTC;We can minimize the damage in both kingdoms;x;
EVTNAME100028;Scottish Election;x;
100028D;Description;x;
100028OPTA;Elect the Nationalist;x;
100028OPTB;Elect the Liberal;x;
100028OPTC;Shut down Parliament;x;
EVTNAME100029;Irish Rebellion;x;
100029D;Description;x;
100029OPTA;Crush the Seccesionists;x;
100029OPTB;Damn;x;
EVTNAME100032;Intervention in Ireland?;x;
100032D;Description;x;
100032OPTA;We must help the Irish!;x;
100032OPTB;Why would I care?;x;
EVTNAME100033;Irish Struggle Done;x;
100033D;Wowee good job!;x;
100033OPT;Be proud of yourself;x;
reunite_with_ireland_title;Reunite with Ireland;x;
reunite_with_ireland_desc;Description;x;
