shaping_our_natural_borders_title;Shaping our natural borders;x;
shaping_our_natural_borders_desc;With the duchies united as one centralized state the time has come for us to decide what our territorial ambitions shall be.;x;
the_throne_of_lorraine_title;The Throne of Lorraine;x;
the_throne_of_lorraine_desc;Ever since the Burgundian menace defeated us in the 17 years war we have had to endure the humiliation of Lorraine being in a personal union with them. With our unification we are now strong enough to not have to suffer this slight any longer! To war!;x;
march_on_brussels_title;March on Brussels;x;
march_on_brussels_desc;With Lorraines liberation Burgundy has become weak! Their southern border is exposed and we can march on one of their most important cities!;x;
claim_the_provencal_lands_title;Claim the Provencal Lands;x;
claim_the_provencal_lands_desc;With our position in the world solidified, we can now focus on taking back land wrongly stolen from us by the greasy provencese!;x;
demand_provence_relinquishes_their_land_title;Demand Provence Relinquish our land;x;
demand_provence_relinquishes_their_land_desc;We shall give them a chance to give us our rightfull land without any bloodshed, should they refuse however we shall make them suffer.;x;
protecting_the_southern_flank_title;Protecting the Southern Flank;x;
protecting_the_southern_flank_desc;With our recent gains we need to readjust the border ever so slightly to protect our holdings.;x;
occitan_accepted_title;Revoke the Edict of Villers-Cotterêts;x;
occitan_accepted_desc;Strangely enough, all frenchmen are not french. To remedy this we must integrate one of the larger minority groups in the country, the occitan. One of the main gripes Occitanian nationalists hold against us is the edict of Villers-Cotterêts which forces the usage of French in all administrative matters. By revoking this edict the Occitan people may finally give up their foolish dream of a independent Occitania.;x;
norman_accepted_title;The Treaty of Paris;x;
norman_accepted_desc;Now that we directly control the domain of Normandy we need to deal with the normans living there. By signing a treaty protecting their rights and giving them voting rights, we can finally get them to agree to be not just de facto part of France, but de jure aswell.;x;
unite_the_duchies_title;Unite the Duchies;x;
unite_the_duchies_desc;After the end of the 17 years war and the ensuing liberation war France has been nothing but a lose confederation of highly independent duchies, nowhere near the power of the old Kingdom of France. Normandy and Provence outright ignore mandates from the Grand Duke and Lorraine is under Burgundian control. With recent political developments however, we might finally be able to unite with the loyal duchies to reclaim the crown of France!;x;
king_of_the_french_title;King of the French;x;
king_of_the_french_desc;With our recent conquests we now hold all the de jure lands of the crown of France! With this, no one can dispute us as the true heirs to king Charles and Jean d'Arc! Vive la France!;x;
EVTNAME100100;Shaping our Future Borders;x;
EVTDESC100100;We must make a decision how far France shall extend. Who counts as a Frenchman?;x;
EVTOPTA100100;Lorraine are our countrymen, but that's it.;x;
EVTOPTB100100;We ought to take revenge on the Burgundian menace!;x;
EVTOPTC100100;Lorraine, Brussels, Switzerland, Provence! All shall feel her splendor!;x;
EVTNAME100101;France demands our lands!;x;
EVTDESC100101;We have long been much more independent than the other dukes of France, but at last it would seem they have been able to unify, and now they have sent us a demand for several of our provinces! How do we respond?!;x;
EVTOPTA100101;We must give up the land and our claim to it...;x;
EVTOPTB100101;To hell with the Parisian pretenders, Provence shall remain free!;x;
EVTNAME100102;Provence Rejects our Demands!;x;
EVTDESC100102;The fools in Provence have made the dire mistake of refusing our demands! Our only course of action now is war.;x;
EVTOPTA100102;Vive la France!;x;
EVTNAME100103;The Splendor of France;x;
EVTDESC100103;100 years ago the dream of a united France seemed a distant dream, but now we have achieved that dream and more! Throughout Burgundy there is no man alive who does not fear the mighty French soldiers! In the German states there is no man who is not inspired by our success! In the cities of Italy there is no man who is not jealous of our marvelous rivers, mountains and coast. France has endured, and we shall endure for another 1000 years! Vive le France!;x;
EVTOPTA100103;Long may She live!;x;
