key;ENGLISH;x
form_kurdistan_title;Balfour Declaration;x;
form_kurdistan_desc;The kurds are our greatest ally and need to be returned to their homeland!;x;
demote_crats_title;Demote Bureaucrats;x;
demote_crats_desc;Bureaucrat fix;x;
will_receive_title;Request a Grant;x;
will_receive_desc;This requests a grant from all player nations with grants enabled.;x;
will_give_title;Enable giving grants;x;
will_give_desc;You can now receive grant requests;x;
will_not_give_title;Disable giving grants;x;
will_not_give_desc;You will now not receive grant requests;x;
UNIT_BUILD_TIME_IW;$VAL$ days.;;;;;;;x
had_cholera;Cholera epidemic;;;;;;x;
had_cholera_desc;Our nation is experiencing outbreaks of cholera.;;;;;;x;
