key;ENGLISH;x
RUM;Rum;x;
RUM_ADJ;Seljuk;x;
RUM_sultanate;Sultanate of Rum;x;
RUM_republic;Rum Republic;x;
RUM_reactionary;Krallar Partisi;x;
RUM_conservative;Gelenekçiler;x;
RUM_liberal;Özgürlük;x;
RUM_liberal_2;el-Jolanis Fraksiyonu;x;
RUM_anarcho_liberal;Cumhuriyetçi;x;
RUM_socialist;Birlesik Isçi Partisi;x;
RUM_socialist_2;Sol;x;
RUM_communist;Radikal Isçi Partisi;x;
RUM_fascist;Ermeni Ölümü;x;
SEL;The Seljuk State;x;
SEL_ADJ;Seljuk;x;
SEL_caliphate;The Seljuk Caliphate;x;
SEL_absolute_monarchy;The Seljuk Empire;x;
SEL_hms_government;The Seljuk Empire;x;
SEL_prussian_constitutionalism;The Seljuk Empire;x;
SEL_republic;Republic of Turks;x;
SEL_democracy;Free Republic of Anatolia;x;
SEL_proletarian_dictatorship;The Anatolian Peoples Commune;x;
SEL_reactionary;Krallar Partisi;x;
SEL_conservative;Gelenekçiler;x;
SEL_liberal;Özgürlük;x;
SEL_liberal_2;el-Jolanis Fraksiyonu;x;
SEL_anarcho_liberal;Cumhuriyetçi;x;
SEL_socialist;Birlesik Isçi Partisi;x;
SEL_socialist_2;Sol;x;
SEL_communist;Radikal Isçi Partisi;x;
SEL_fascist;Ermeni Ölümü;x;
TRZ;Trebizond;x;
TRZ_ADJ;Trebizonian;x;
TRZ_reactionary;Trebizonian Patriots;x;
TRZ_conservative;Cuckservative faction;x;
TRZ_liberal;EU pls gib money;x;
TRZ_anarcho_liberal;Russia pls gib money;x;
TRZ_socialist;Soycalist faction;x;
TRZ_communist;Stalinist faction;x;
TRZ_fascist;The Grey Wolves;x;
RAS;Rashidun Arabia;x;
RAS_ADJ;Rashidun;x;
RAS_caliphate;Rashidun Caliphate;x;
RAS_reactionary;Warathat Alkhalifa;x;
RAS_conservative;Harim Almuluk;x;
RAS_liberal;Altamkin;x;
RAS_anarcho_liberal;Aleankabut Alliybraliu;x;
RAS_socialist;Ba'athists;x;
RAS_communist;Eumaal Aldiyn;x;
RAS_fascist;Uwmisk;x;
