key;ENGLISH;x
end_the_civil_war_title;End the Civil War;x;
end_the_civil_war_desc;Ends the Civil War;x;
our_return_to_the_isles_title;Return to the Isles;x;
our_return_to_the_isles_desc;We're back! We're so back!;x;
expanding_the_danelaw_title;Expand Daneslaw;x;
expanding_the_danelaw_desc;Bigger Chunk of England mmmm;x;
integrating_the_norse_title;Integrating the norse;x;
integrating_the_norse_desc;integrate the Norse;x;
end_of_holsteinian_independence_title;End of Hosltein;x;
end_of_holsteinian_independence_desc;I am going to destroy Holstein;x;
restore_the_kurland_march_title;Get Kurland back!;x;
restore_the_kurland_march_desc;Estonians are Scandinavian, everyone knows that;x;
protecting_the_germans_title;Protect the germans;x;
protecting_the_germans_desc;Germans to be be protected! That's why we are annexing them to protect them from themselves!;x;
one_people_one_kingdom_title;One people - One Kingdom!;x;
one_people_one_kingdom_desc;Germans are nordic (as long as they are in the north);x;
claim_prussia_independence_title;Claim Prussia;x;
claim_prussia_independence_desc;Time to expand our rech to the baltics;x;
